Unique Key,InitDate,Descriptor,Zip,Address,Cross Street 1,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location
33774121,7/6/16 0:00,Rat Sighting,10024,CENTRAL PARK WEST,,MANHATTAN,992648,225227,40.78486829,-73.96967441,"(40.78486829067136, -73.96967441057373)"
33774126,7/6/16 0:00,Rat Sighting,11226,994 FLATBUSH AVENUE,ALBEMARLE ROAD,BROOKLYN,995867,175034,40.64709693,-73.95813706,"(40.64709692606823, -73.95813706492528)"
33774127,7/6/16 0:00,Rat Sighting,11223,,,BROOKLYN,994323,160337,40.60675864,-73.96372294,"(40.60675864489293, -73.96372294459562)"
33774175,7/6/16 0:00,Rat Sighting,11216,1409 PACIFIC STREET,,BROOKLYN,999446,186127,40.67753934,-73.94521481,"(40.677539335385525, -73.94521480902094)"
33774179,7/6/16 0:00,Rat Sighting,10026,274 WEST  117 STREET,ST NICHOLAS AVENUE,MANHATTAN,996944,232484,40.80478166,-73.95414763,"(40.804781661377284, -73.95414762937523)"
33774291,7/6/16 0:00,Rat Sighting,11206,91 GRAHAM AVENUE,SEIGEL STREET,BROOKLYN,1000111,196046,40.70476353,-73.94279397,"(40.70476353057943, -73.94279397310386)"
33774292,7/6/16 0:00,Rat Sighting,11220,460 52 STREET,4 AVENUE,BROOKLYN,980805,174099,40.6445375,-74.0124139,"(40.64453750207692, -74.01241389983072)"
33774293,7/6/16 0:00,Rat Sighting,11213,187 KINGSTON AVENUE,PROSPECT PLACE,BROOKLYN,1000395,184663,40.67351931,-73.94179695,"(40.673519306157495, -73.9417969464463)"
33774365,7/6/16 0:00,Rat Sighting,11213,1421 PARK PLACE,UTICA AVENUE,BROOKLYN,1003618,184236,40.67234082,-73.9301792,"(40.67234082276555, -73.93017919732819)"
33774993,7/6/16 0:00,Rat Sighting,10024,,,MANHATTAN,991558,226956,40.7896149,-73.97360857,"(40.789614901346546, -73.9736085726657)"
33775175,7/6/16 0:00,Rat Sighting,10013,83 BAXTER STREET,,MANHATTAN,984357,200359,40.71661591,-73.99961401,"(40.71661590597004, -73.99961401343344)"
33775176,7/6/16 0:00,Rat Sighting,10026,200-298 W 117TH ST,,MANHATTAN,996777,232581,40.80504814,-73.95475067,"(40.80504813799981, -73.9547506738864)"
33775177,7/6/16 0:00,Rat Sighting,11216,1164 DEAN STREET,,BROOKLYN,997831,185817,40.67669108,-73.95103789,"(40.6766910805797, -73.95103789119469)"
